NCESSCH,NAME,LAT,LON,grade,Has_Calc,Num_Calc_Classes,Has_CS,Num_CS_Classes,Has_Physics,Num_Physics_Classes
063441003976,Marshall (Thurgood) High,37.736031000000004,-122.401704,D,Yes,2,No,0,Yes,8
063441005581,Lincoln (Abraham) High,37.74636,-122.48094000000002,B,Yes,9,No,0,Yes,20
063441005587,Balboa High,37.72104099999999,-122.441077,C,Yes,4,No,0,Yes,14
063441005602,Downtown High,37.761526,-122.40393399999998,D,No,0,No,0,Yes,5
063441005612,Galileo High,37.803893,-122.42364,C,Yes,12,No,0,Yes,11
063441005653,Wells (Ida B.) High,37.775116999999995,-122.43405300000002,C,No,0,No,0,No,0
063441007840,Independence High,37.76325799999999,-122.463744,C,Yes,1,No,0,Yes,3
063442503273,Gabrielino High,34.0828,-118.0918,C,Yes,7,Yes,5,Yes,5
063442507166,Del Mar High,34.098499999999994,-118.0992,C,No,0,No,0,No,0
063459005736,San Jose High,37.349894,-121.871994,C,Yes,1,No,0,Yes,7
063459005746,Willow Glen High,37.291847999999995,-121.89729200000001,B,Yes,3,Yes,7,Yes,5
063570006098,Olympic High (Continuation),34.006794,-118.47724100000002,D,Yes,1,No,0,No,0
063750006338,South Pasadena Senior High,34.1094,-118.15340000000002,C,Yes,6,Yes,9,Yes,5
063801006403,Edison High,37.93716299999999,-121.28803399999997,D,Yes,1,Yes,2,Yes,13
063898002195,Dr. Doug Sears Learning Center,34.106894,-118.057544,B,No,0,No,0,No,0
063898006540,Temple City High,34.11817099999999,-118.06399100000002,C,Yes,8,Yes,3,Yes,5
063898007145,Temple City Alternative,34.11817099999999,-118.06399100000002,C,No,0,No,0,No,0
069105212994,Urban Corps of San Diego County Charter,32.755362999999996,-117.20344199999998,D,No,0,No,0,No,0
069107808010,Renaissance County Community,33.89891399999999,-118.33259300000002,D,No,0,No,0,No,0
069107809663,L.A. County High School for the Arts,34.069364,-118.16718400000002,C,Yes,1,No,0,Yes,3
069107812696,Central Juvenile Hall,34.06408799999999,-118.20715300000002,D,No,0,No,0,No,0
069111109270,S.F. County Court Woodside Learning Ctr,37.745924,-122.452503,B,No,0,No,0,No,0
069111109472,S.F. County Opportunity (Hilltop),37.750413,-122.409646,D,Yes,1,No,0,Yes,4
069111109473,S.F. County Special Education,37.74363099999999,-122.50010399999996,B,No,0,No,0,No,0
080336000322,Career Education Center Early College,39.7553,-105.02269999999999,D,Yes,1,Yes,3,Yes,5
080336000338,East High School,39.7416,-104.9557,C,Yes,24,No,0,Yes,12
080336000380,Contemporary Learning Academy,39.730039999999995,-104.984491,C,No,0,No,0,Yes,2
080336000389,North High School,39.76049999999999,-105.02219999999998,D,Yes,4,Yes,4,Yes,16
080336001795,Prep Academy,39.7564,-104.95769999999999,C,No,0,Yes,3,Yes,1
080336001894,AUL Denver,39.75873899999999,-105.016959,D,No,0,No,0,No,0
080336001917,Denver Center for International Studies,39.7253,-104.9942,D,Yes,1,No,0,No,0
080336006328,Manual High School,39.756508000000004,-104.96713799999999,D,No,0,No,0,Yes,2
080336006345,Gilliam School,39.7574,-104.9729,D,No,0,No,0,No,0
080336006443,Denver Justice High School,39.73012000000001,-104.98323100000002,C,No,0,No,0,Yes,1
080336006516,Denver Center for 21st-Century Learning at Wyman,39.74289999999999,-104.96529999999998,C,No,0,Yes,3,Yes,1
080336006551,West High School,39.7311,-104.99469999999998,D,No,0,Yes,3,Yes,7
080336006568,Denver Montessori Junior/Senior High School,39.77501,-105.009658,C,No,0,No,0,Yes,3
080336006569,North High School Engagement Center,39.760044,-105.022794,D,No,0,No,0,Yes,1
080336006583,Compassion Road Academy,39.732324,-104.991384,D,No,0,No,0,Yes,1
080336006626,Girls Athletic Leadership School High School,39.72806,-104.995791,D,No,0,No,0,No,0
080336006636,DSST: Cole High School,39.76260599999999,-104.968967,D,Yes,2,Yes,4,Yes,3
080336006640,Denver School of Innovation and Sustainable Design,39.737694999999995,-104.97698,C,No,0,No,0,Yes,2
080336006684,DSST: Cedar High School,39.71381999999999,-104.97981099999998,C,Yes,3,Yes,7,Yes,8
080336006735,Colorado High School Charter - GES,39.775425,-104.95120899999999,D,No,0,No,0,No,0
080612001037,Central High School,38.25399999999999,-104.6248,A,No,0,Yes,35,No,0
080612006350,Pueblo Youth Service Center,38.282,-104.6266,D,No,0,No,0,No,0
090001500809,The Bridge Academy,41.18388600000001,-73.184309,D,No,0,No,0,No,0
090002400981,Amistad Academy,41.311152,-72.937407,C,Yes,6,No,0,Yes,6
090021201528,Achievement First Hartford Academy,41.784008,-72.69729200000002,C,Yes,4,No,0,Yes,3
090022101803,Capital Preparatory Harbor School,41.17515600000001,-73.18848899999999,C,Yes,1,No,0,Yes,3
