NCESSCH,NAME,LAT,LON,CITY,STATE
170993000925,Kenwood Academy High School,41.803407,-87.589655,Chicago,IL
170993000926,Lloyd Elem School,41.9192,-87.7474,Chicago,IL
170993000927,Locke  J Elem School,41.932,-87.7964,Chicago,IL
170993000928,Smith  W Elem School,41.708,-87.6054,Chicago,IL
170993000929,Lovett Elem School,41.912524,-87.784215,Chicago,IL
170993000930,Lowell Elem School,41.9067,-87.7104,Chicago,IL
170993000931,King College Prep High School,41.8139,-87.6029,Chicago,IL
170993000934,Lyon Elem School,41.9339,-87.7765,Chicago,IL
170993000935,Madison Elem School,41.760043,-87.590473,Chicago,IL
170993000936,Manierre Elem School,41.908,-87.6401,Chicago,IL
170993000937,Mann Elem School,41.7487,-87.5751,Chicago,IL
170993000939,Marsh Elem School,41.7165,-87.5532,Chicago,IL
170993000940,Marquette Elem School,41.7744,-87.6973,Chicago,IL
170993000941,Lake View High School,41.9555,-87.6686,Chicago,IL
170993000942,Lane Technical High School,41.9454,-87.6906,Chicago,IL
170993000943,Chicago Vocational Career Acad HS,41.7377,-87.5729,Chicago,IL
170993000944,Mason Elem School,41.8559,-87.7301,Chicago,IL
170993000950,Mayer Elem School,41.9228,-87.6574,Chicago,IL
170993000952,Minnie Minoso Academy,41.8304,-87.6408,Chicago,IL
170993000955,McCormick Elem School,41.842,-87.7065,Chicago,IL
170993000956,McCutcheon Elem School,41.9712,-87.6544,Chicago,IL
170993000957,McDade Elem Classical School,41.7344,-87.6188,Chicago,IL
170993000958,McKay Elem School,41.7677,-87.6914,Chicago,IL
170993000959,McPherson Elem School,41.9685,-87.6767,Chicago,IL
170993000963,Melody Elem School,41.8783,-87.7245,Chicago,IL
170993000964,Talcott Elem School,41.8928,-87.6743,Chicago,IL
170993000965,Mitchell Elem School,41.892,-87.6832,Chicago,IL
170993000966,Mollison Elem School,41.814543,-87.615986,Chicago,IL
170993000968,Monroe Elem School,41.9294,-87.719,Chicago,IL
170993000969,Moos Elem School,41.913072,-87.696405,Chicago,IL
170993000970,Morrill Elem Math & Sci School,41.7841,-87.6883,Chicago,IL
170993000971,Inter-American Elem Magnet School,41.9486,-87.6514,Chicago,IL
170993000972,Marshall Metropolitan High School,41.8789,-87.7072,Chicago,IL
170993000974,Mount Greenwood Elem School,41.6962,-87.7054,Chicago,IL
170993000977,Mather High School,41.9881,-87.7014,Chicago,IL
170993000978,Mount Vernon Elem School,41.7023,-87.6481,Chicago,IL
170993000979,Mozart Elem School,41.9214,-87.7226,Chicago,IL
170993000981,Brown R Elem Community Acad,41.6648,-87.6385,Chicago,IL
170993000983,Murphy Elem School,41.9497,-87.7171,Chicago,IL
170993000984,Murray Elem Language Academy,41.7983,-87.5924,Chicago,IL
170993000985,Nash Elem School,41.892,-87.7472,Chicago,IL
170993000987,Neil Elem School,41.7391,-87.6206,Chicago,IL
170993000988,Nettelhorst Elem School,41.9416,-87.645,Chicago,IL
170993000990,Jones College Prep High School,41.87346,-87.62794,Chicago,IL
170993000991,Newberry Elem Math & Science Acad,41.9142,-87.6462,Chicago,IL
170993000992,Nightingale Elem School,41.7978,-87.6894,Chicago,IL
170993000993,Carver Primary School,41.6531,-87.601,Chicago,IL
170993000994,Nixon Elem School,41.9196,-87.7311,Chicago,IL
170993000996,Nobel Elem School,41.9058,-87.7297,Chicago,IL
170993000997,Norwood Park Elem School,41.9894,-87.8026,Chicago,IL
170993001001,Armour Elem School,41.8341,-87.65,Chicago,IL
170993001002,Morgan Park High School,41.6922,-87.6657,Chicago,IL
170993001003,Ogden Elem School,41.9002,-87.6291,Chicago,IL
170993001004,Oglesby Elem School,41.7548,-87.6459,Chicago,IL
170993001005,OKeeffe Elem School,41.7687,-87.5731,Chicago,IL
170993001009,Onahan Elem School,41.9941,-87.7925,Chicago,IL
170993001010,Oriole Park Elem School,41.9786,-87.8124,Chicago,IL
170993001011,Piccolo Elem Specialty School,41.9003,-87.7319,Chicago,IL
170993001012,Otis Elem School,41.8916,-87.6652,Chicago,IL
170993001013,OToole Elem School,41.7746,-87.6754,Chicago,IL
170993001015,Owen Elem Scholastic Academy,41.742844,-87.705392,Chicago,IL
170993001017,Palmer Elem School,41.9729,-87.7389,Chicago,IL
170993001019,Parker Elem Community Academy,41.7709,-87.633,Chicago,IL
170993001021,Park Manor Elem School,41.7667,-87.6113,Chicago,IL
170993001022,Parkside Elem Community Academy,41.7689,-87.5832,Chicago,IL
170993001023,Pasteur Elem School,41.787,-87.7324,Chicago,IL
170993001025,Peck Elem School,41.7881,-87.7197,Chicago,IL
170993001027,Peirce Elem Intl Studies School,41.9833,-87.6669,Chicago,IL
170993001028,Penn Elem School,41.858396,-87.721933,Chicago,IL
170993001031,Washington  H Elem School,41.728583,-87.596626,Chicago,IL
170993001032,Pershing Elem Humanities Magnet,41.836,-87.6185,Chicago,IL
170993001033,Peterson Elem School,41.98191,-87.712888,Chicago,IL
170993001034,Pickard Elem School,41.8528,-87.6836,Chicago,IL
170993001036,Pirie Elem Fine Arts & Academic C,41.7407,-87.6083,Chicago,IL
170993001037,Plamondon Elem School,41.8604,-87.6926,Chicago,IL
170993001039,Portage Park Elem School,41.9574,-87.761,Chicago,IL
170993001040,Prescott Elem School,41.92909,-87.669294,Chicago,IL
170993001043,Prussing Elem School,41.9657,-87.7727,Chicago,IL
170993001044,Tanner Elem School,41.7608,-87.607,Chicago,IL
170993001045,Pulaski Intl Sch of Chicago,41.9187,-87.6838,Chicago,IL
170993001046,Pullman Elem School,41.688723,-87.608845,Chicago,IL
170993001047,Ray Elem School,41.7923,-87.5945,Chicago,IL
170993001050,Ravenswood Elem School,41.9611,-87.6714,Chicago,IL
170993001052,Reavis Elem Math & Sci Spec Schl,41.8044,-87.6054,Chicago,IL
170993001054,Reilly Elem School,41.9417,-87.7194,Chicago,IL
170993001055,Reinberg Elem School,41.9427,-87.7686,Chicago,IL
170993001056,Revere Elem School,41.7645,-87.6003,Chicago,IL
170993001059,Rogers Elem School,42.0153,-87.6968,Chicago,IL
170993001061,Phillips Academy High School,41.8244,-87.6199,Chicago,IL
170993001064,Ruggles Elem School,41.7523,-87.6176,Chicago,IL
170993001065,Ryder Elem Math & Sci Spec School,41.735,-87.6396,Chicago,IL
170993001067,Sauganash Elem School,41.991154,-87.746475,Chicago,IL
170993001068,Sawyer Elem School,41.7976,-87.7053,Chicago,IL
170993001070,Sayre Elem Language Academy,41.9138,-87.7992,Chicago,IL
170993001071,Ashe Elem School,41.7399,-87.6009,Chicago,IL
170993001072,Corliss High School,41.706391,-87.60275,Chicago,IL
170993001073,Scammon Elem School,41.9414,-87.733,Chicago,IL
170993001077,Schmid Elem School,41.7174,-87.5963,Chicago,IL
170993001079,Schubert Elem School,41.93,-87.7607,Chicago,IL
170993001080,Seward Elem Communication Arts Ac,41.8099,-87.669,Chicago,IL
170993001083,Sheridan Elem Math & Science Acad,41.8442,-87.641,Chicago,IL
170993001084,Mireles Elem Academy,41.7312,-87.553,Chicago,IL
170993001085,Sherman Elem School,41.8,-87.6505,Chicago,IL
170993001086,Clemente Community Academy HS,41.9026,-87.686,Chicago,IL
170993001087,Sherwood Elem School,41.7906,-87.632,Chicago,IL
170993001091,Jackson M Elem School,41.7339,-87.6465,Chicago,IL
170993001092,Shields Elem School,41.8161,-87.6901,Chicago,IL
170993001093,Roosevelt High School,41.965,-87.7146,Chicago,IL
170993001094,Shoesmith Elem School,41.8048,-87.5943,Chicago,IL
170993001095,Shoop Math-Sci Tech Elem Academy,41.6907,-87.6592,Chicago,IL
170993001096,Skinner Elem School,41.9071,-87.6454,Chicago,IL
170993001097,Smyser Elem School,41.9593,-87.7826,Chicago,IL
170993001098,Smyth  J Elem School,41.8653,-87.6535,Chicago,IL
170993001099,Cardenas Elem School,41.8482,-87.7157,Chicago,IL
170993001100,Solomon Elem School,41.9943,-87.7244,Chicago,IL
170993001101,Spencer Technology Acad Elem Sch,41.8849,-87.7507,Chicago,IL
170993001102,Stagg Elem School,41.7591,-87.6494,Chicago,IL
170993001103,Stevenson Elem School,41.7471,-87.732,Chicago,IL
170993001105,Stone Elem Scholastic Academy,41.9955,-87.6843,Chicago,IL
170993001106,Spry Elem Community School,41.847637,-87.699794,Chicago,IL
170993001109,Stowe Elem School,41.9126,-87.7131,Chicago,IL
170993001111,Schurz High School,41.9475,-87.7355,Chicago,IL
170993001114,Senn High School,41.9891,-87.6668,Chicago,IL
170993001116,Sullivan Elem School,41.744,-87.5426,Chicago,IL
170993001117,Sumner Elem Math & Sci Comm Acad,41.8718,-87.7324,Chicago,IL
170993001118,Sutherland Elem School,41.7113,-87.6765,Chicago,IL
170993001119,Swift Elem Specialty School,41.9892,-87.6585,Chicago,IL
170993001120,Taylor Elem School,41.7154,-87.5333,Chicago,IL
170993001122,Thorp  J N Elem School,41.73326,-87.544813,Chicago,IL
170993001123,Thorp  O A Elem Scholastic Acad,41.9489,-87.7778,Chicago,IL
170993001124,Tilton Elem School,41.8839,-87.7304,Chicago,IL
170993001125,Manley Career Academy High School,41.8708,-87.7,Chicago,IL
170993001127,Monarcas Academy,41.7874,-87.7078,Chicago,IL
170993001128,Ninos Heroes Elem Academic Ctr,41.744132,-87.553038,Chicago,IL
170993001130,Twain Elem School,41.7994,-87.7596,Chicago,IL
170993001131,Vanderpoel Elem Magnet School,41.7205,-87.6659,Chicago,IL
170993001135,Lavizzo Elem School,41.6965,-87.6271,Chicago,IL
170993001136,Walsh Elem School,41.8547,-87.6479,Chicago,IL
170993001138,Volta Elem School,41.9716,-87.725,Chicago,IL
170993001139,Steinmetz College Prep HS,41.9356,-87.7843,Chicago,IL
170993001141,Wacker Elem School,41.7163,-87.6483,Chicago,IL
170993001143,Ward  J Elem School,41.8435,-87.6351,Chicago,IL
170993001144,Wadsworth Elem School,41.7783,-87.5983,Chicago,IL
170993001145,Washington  G Elem School,41.6878,-87.536,Chicago,IL
170993001147,Waters Elem School,41.9644,-87.6919,Chicago,IL
170993001148,Webster Elem School,41.8698,-87.7272,Chicago,IL
170993001149,Sullivan High School,42.0028,-87.6689,Chicago,IL
170993001150,Wentworth Elem School,41.7653,-87.6584,Chicago,IL
170993001151,Westcott Elem School,41.7487,-87.6355,Chicago,IL
170993001153,Taft High School,41.9847,-87.7914,Chicago,IL
170993001154,Pritzker Elem School,41.9066,-87.6778,Chicago,IL
170993001155,Whistler Elem School,41.6842,-87.6551,Chicago,IL
170993001156,Joplin Elem School,41.7495,-87.6691,Chicago,IL
170993001157,Whitney Elem School,41.84,-87.7254,Chicago,IL
170993001159,Whittier Elem School,41.8506,-87.674,Chicago,IL
170993001161,Tilden Career Communty Academy HS,41.8075,-87.6425,Chicago,IL
170993001163,Woodson South Elem School,41.814,-87.6087,Chicago,IL
170993001165,Till Elem Math & Science Academy,41.775553,-87.609085,Chicago,IL
170993001166,Warren Elem School,41.7277,-87.575,Chicago,IL
170993001168,Aldridge Elem School,41.6577,-87.6069,Chicago,IL
170993001171,Young Elem School,41.9067,-87.7675,Chicago,IL
170993001174,Dirksen Elem School,41.9735,-87.8416,Chicago,IL
170993001176,Yates Elem School,41.9148,-87.6998,Chicago,IL
170993001177,Depriest Elem School,41.878,-87.7659,Chicago,IL
170993001180,Von Steuben Metro Science HS,41.9732,-87.7131,Chicago,IL
170993001181,Armstrong G Elem IntL Studies,42.0106,-87.6846,Chicago,IL
170993001183,Cuffe Math-Sci Tech Elem Academy,41.7424,-87.6539,Chicago,IL
170993001185,Lincoln Park High School,41.9193,-87.6454,Chicago,IL
170993001186,Foster Park Elem School,41.7387,-87.6684,Chicago,IL
170993001189,Washington G High School,41.6875,-87.5391,Chicago,IL
170993001191,McNair Elem School,41.898,-87.747,Chicago,IL
