freq,size_emp,cost,unit,geo,2005,2010,2015,2020,2005_value,2005_note,2010_value,2010_note,2015_value,2015_note,2020_value,2020_note
A,GE250,DIR,EUR,CZ,115 ,126 b,134 bd,109 b,115.0,,126.0,b,134.0,bd,109.0,b
A,GE250,DIR,PPS,CZ,200 ,178 b,212 bd,: ,200.0,,178.0,b,212.0,bd,,
A,GE250,DIR,PPS_EU27_2020,CZ,193 ,176 b,203 bd,151 b,193.0,,176.0,b,203.0,bd,151.0,b
A,GE250,LCP,EUR,CZ,143 ,131 ,171 bd,179 b,143.0,,131.0,,171.0,bd,179.0,b
A,GE250,LCP,PPS,CZ,249 ,185 ,270 bd,: ,249.0,,185.0,,270.0,bd,,
A,GE250,LCP,PPS_EU27_2020,CZ,240 ,183 ,259 bd,247 b,240.0,,183.0,,259.0,bd,247.0,b
A,GE250,NET,EUR,CZ,-2 ,-16 b,-9 bd,-3 b,-2.0,,-16.0,b,-9.0,bd,-3.0,b
A,GE250,NET,PPS,CZ,-4 ,-22 b,-14 bd,: ,-4.0,,-22.0,b,-14.0,bd,,
A,GE250,NET,PPS_EU27_2020,CZ,-4 ,-22 b,-14 bd,-4 b,-4.0,,-22.0,b,-14.0,bd,-4.0,b
A,GE250,TOTAL,EUR,CZ,256 ,241 b,295 bd,285 b,256.0,,241.0,b,295.0,bd,285.0,b
A,GE250,TOTAL,PPS,CZ,445 ,341 b,468 bd,: ,445.0,,341.0,b,468.0,bd,,
A,GE250,TOTAL,PPS_EU27_2020,CZ,429 ,337 b,448 bd,394 b,429.0,,337.0,b,448.0,bd,394.0,b
A,TOTAL,DIR,EUR,CZ,87 ,100 b,115 bd,90 b,87.0,,100.0,b,115.0,bd,90.0,b
A,TOTAL,DIR,PPS,CZ,151 ,142 b,182 bd,: ,151.0,,142.0,b,182.0,bd,,
A,TOTAL,DIR,PPS_EU27_2020,CZ,145 ,140 b,174 bd,124 b,145.0,,140.0,b,174.0,bd,124.0,b
A,TOTAL,LCP,EUR,CZ,105 ,93 ,136 bd,138 b,105.0,,93.0,,136.0,bd,138.0,b
A,TOTAL,LCP,PPS,CZ,182 ,132 ,215 bd,: ,182.0,,132.0,,215.0,bd,,
A,TOTAL,LCP,PPS_EU27_2020,CZ,175 ,131 ,205 bd,191 b,175.0,,131.0,,205.0,bd,191.0,b
A,TOTAL,NET,EUR,CZ,-1 ,-13 b,-15 bd,-37 b,-1.0,,-13.0,b,-15.0,bd,-37.0,b
A,TOTAL,NET,PPS,CZ,-2 ,-19 b,-24 bd,: ,-2.0,,-19.0,b,-24.0,bd,,
A,TOTAL,NET,PPS_EU27_2020,CZ,-2 ,-19 b,-23 bd,-51 b,-2.0,,-19.0,b,-23.0,bd,-51.0,b
A,TOTAL,TOTAL,EUR,CZ,190 ,180 b,235 bd,191 b,190.0,,180.0,b,235.0,bd,191.0,b
A,TOTAL,TOTAL,PPS,CZ,331 ,255 b,373 bd,: ,331.0,,255.0,b,373.0,bd,,
